origin,dest,year,asylum_apps
BRA,GBR,2015,28
BRA,GBR,2016,44
BRA,GBR,2017,33
BRA,GBR,2018,72
BRA,GBR,2019,215
BRA,GBR,2020,226
BRA,GBR,2021,145
BRA,GBR,2022,664
BRA,GBR,2023,1908
BRA,GRC,2008,5
BRA,GRC,2011,5
BRA,GRC,2016,5
BRA,GRC,2017,5
BRA,GRC,2018,6
BRA,GRC,2019,12
BRA,GRC,2020,5
BRA,GRC,2021,5
BRA,GRC,2023,10
BRA,GTM,2022,6
BRA,HND,2021,5
BRA,IRL,2008,27
BRA,IRL,2009,16
BRA,IRL,2010,5
BRA,IRL,2011,18
BRA,IRL,2012,21
BRA,IRL,2013,10
BRA,IRL,2015,10
BRA,IRL,2016,54
BRA,IRL,2017,42
BRA,IRL,2018,139
BRA,IRL,2019,151
BRA,IRL,2020,119
BRA,IRL,2021,56
BRA,IRL,2022,110
BRA,IRL,2023,194
BRA,ISL,2021,5
BRA,ISR,2018,5
BRA,ISR,2022,5
BRA,ISR,2023,5
BRA,ITA,2008,19
BRA,ITA,2009,13
BRA,ITA,2010,13
BRA,ITA,2011,20
BRA,ITA,2012,23
BRA,ITA,2013,13
BRA,ITA,2014,17
BRA,ITA,2015,32
BRA,ITA,2016,97
BRA,ITA,2017,74
BRA,ITA,2018,187
BRA,ITA,2019,296
BRA,ITA,2020,211
BRA,ITA,2021,207
BRA,ITA,2022,355
BRA,ITA,2023,389
BRA,JPN,2011,6
BRA,JPN,2014,5
BRA,JPN,2015,5
BRA,KOR,2018,5
BRA,KOR,2019,5
BRA,KOR,2020,15
BRA,KOR,2021,5
BRA,KOR,2023,10
BRA,LUX,2023,10
BRA,MEX,2010,5
BRA,MEX,2016,5
BRA,MEX,2017,5
BRA,MEX,2018,5
BRA,MEX,2019,552
BRA,MEX,2020,372
BRA,MEX,2021,3836
BRA,MEX,2022,2594
BRA,MEX,2023,3678
BRA,NLD,2008,5
BRA,NLD,2011,5
BRA,NLD,2014,5
BRA,NLD,2015,5
BRA,NLD,2017,6
BRA,NLD,2018,5
BRA,NLD,2019,8
BRA,NLD,2020,19
BRA,NLD,2021,17
BRA,NLD,2022,17
BRA,NLD,2023,9
BRA,NOR,2010,5
BRA,NOR,2011,13
BRA,NOR,2012,5
BRA,NOR,2013,5
BRA,NOR,2014,6
BRA,NOR,2019,10
BRA,NOR,2022,5
BRA,NOR,2023,5
BRA,NZL,2009,8
BRA,NZL,2010,5
BRA,NZL,2011,5
BRA,NZL,2014,5
BRA,NZL,2015,5
BRA,NZL,2016,6
BRA,NZL,2018,5
BRA,NZL,2019,7
BRA,NZL,2020,6
BRA,NZL,2023,11
BRA,PER,2008,5
BRA,PER,2018,5
BRA,PER,2019,7
BRA,PER,2022,5
BRA,PER,2023,12
BRA,PRT,2015,6
BRA,PRT,2016,8
BRA,PRT,2017,15
BRA,PRT,2018,25
BRA,PRT,2019,18
BRA,PRT,2020,7
BRA,PRT,2021,15
BRA,PRT,2022,24
BRA,PRT,2023,22
BRA,PRY,2019,5
BRA,PRY,2023,20
BRA,ROU,2015,5
BRA,SWE,2008,5
BRA,SWE,2009,12
BRA,SWE,2010,6
BRA,SWE,2014,12
BRA,SWE,2015,12
BRA,SWE,2016,29
BRA,SWE,2017,33
BRA,SWE,2018,26
BRA,SWE,2019,29
BRA,SWE,2020,28
BRA,SWE,2021,19
BRA,SWE,2022,18
BRA,SWE,2023,27
BRA,URY,2012,5
BRA,URY,2017,7
BRA,URY,2018,5
BRA,URY,2019,13
BRA,URY,2020,5
BRA,URY,2021,9
BRA,URY,2022,9
BRA,URY,2023,7
BRA,USA,2008,209
BRA,USA,2009,175
BRA,USA,2010,223
BRA,USA,2011,340
BRA,USA,2012,444
BRA,USA,2013,311
BRA,USA,2014,506
BRA,USA,2015,916
BRA,USA,2016,1454
BRA,USA,2017,2677
BRA,USA,2018,3001
BRA,USA,2019,3558
BRA,USA,2020,4986
BRA,USA,2021,5279
BRA,USA,2022,25553
BRA,USA,2023,28430
BRB,CAN,2008,34
BRB,CAN,2009,35
BRB,CAN,2010,36
BRB,CAN,2011,71
BRB,CAN,2012,43
BRB,CAN,2013,14
BRB,CAN,2014,22
BRB,CAN,2015,35
BRB,CAN,2016,32
BRB,CAN,2017,68
BRB,CAN,2018,67
BRB,CAN,2019,96
BRB,CAN,2020,36
BRB,CAN,2021,44
BRB,CAN,2022,217
BRB,CAN,2023,340
BRB,GBR,2010,5
BRB,GBR,2013,5
BRB,GBR,2014,7
BRB,GBR,2015,5
BRB,GBR,2016,10
BRB,GBR,2017,5
BRB,GBR,2018,11
BRB,GBR,2019,5
BRB,GBR,2020,6
BRB,GBR,2021,10
BRB,GBR,2022,5
BRB,GBR,2023,11
BRB,GRC,2009,11
BRB,USA,2012,5
BRB,USA,2013,5
BRB,USA,2016,5
BRB,USA,2021,5
CHL,ARG,2008,5
CHL,ARG,2010,5
CHL,ARG,2011,6
CHL,ARG,2012,5
CHL,ARG,2014,5
CHL,ARG,2015,5
CHL,ARG,2019,5
CHL,ARG,2023,5
CHL,AUS,2008,10
CHL,AUS,2014,5
CHL,AUS,2016,5
CHL,AUS,2017,11
CHL,AUS,2019,10
CHL,AUS,2020,36
CHL,AUS,2021,8
CHL,AUS,2022,41
CHL,AUS,2023,24
CHL,BEL,2011,5
CHL,BEL,2012,5
CHL,BEL,2016,5
CHL,BEL,2020,10
CHL,BEL,2023,5
CHL,BRA,2016,5
CHL,BRA,2017,7
CHL,BRA,2018,38
CHL,BRA,2019,70
CHL,BRA,2020,15
CHL,BRA,2021,6
CHL,BRA,2022,14
CHL,BRA,2023,44
CHL,CAN,2008,50
CHL,CAN,2009,61
CHL,CAN,2010,54
CHL,CAN,2011,43
CHL,CAN,2012,11
CHL,CAN,2014,6
CHL,CAN,2015,30
CHL,CAN,2016,50
CHL,CAN,2017,92
CHL,CAN,2018,134
CHL,CAN,2019,188
CHL,CAN,2020,138
CHL,CAN,2021,207
CHL,CAN,2022,1795
CHL,CAN,2023,1172
CHL,CHE,2009,5
CHL,CHE,2019,5
CHL,CHE,2022,5
CHL,CHE,2023,5
CHL,COL,2023,5
CHL,CRI,2019,11
