origin,dest,year,asylum_apps
CUB,SWE,2021,40
CUB,SWE,2022,56
CUB,SWE,2023,40
CUB,SXM,2012,10
CUB,SXM,2019,5
CUB,TCA,2012,21
CUB,TCA,2013,7
CUB,TTO,2010,5
CUB,TTO,2013,26
CUB,TTO,2014,107
CUB,TTO,2015,47
CUB,TTO,2016,66
CUB,TTO,2017,745
CUB,TTO,2018,1229
CUB,TTO,2019,480
CUB,TTO,2020,146
CUB,TTO,2021,21
CUB,TTO,2022,180
CUB,TTO,2023,5
CUB,UKR,2008,5
CUB,UKR,2014,5
CUB,UKR,2019,5
CUB,URY,2015,26
CUB,URY,2016,341
CUB,URY,2017,2278
CUB,URY,2018,6577
CUB,URY,2019,10853
CUB,URY,2020,2215
CUB,URY,2021,1446
CUB,URY,2022,6274
CUB,URY,2023,7335
CUB,USA,2008,370
CUB,USA,2009,340
CUB,USA,2010,287
CUB,USA,2011,242
CUB,USA,2012,195
CUB,USA,2013,149
CUB,USA,2014,169
CUB,USA,2015,135
CUB,USA,2016,147
CUB,USA,2017,770
CUB,USA,2018,1588
CUB,USA,2019,9238
CUB,USA,2020,9548
CUB,USA,2021,12987
CUB,USA,2022,157537
CUB,USA,2023,99745
DOM,ARG,2008,125
DOM,ARG,2009,308
DOM,ARG,2010,97
DOM,ARG,2011,135
DOM,ARG,2012,171
DOM,ARG,2013,9
DOM,ARG,2014,45
DOM,ARG,2015,42
DOM,ARG,2016,52
DOM,ARG,2017,221
DOM,ARG,2018,256
DOM,ARG,2019,233
DOM,ARG,2020,70
DOM,ARG,2021,49
DOM,ARG,2022,25
DOM,ARG,2023,21
DOM,AUT,2016,5
DOM,BEL,2009,9
DOM,BEL,2011,5
DOM,BEL,2013,7
DOM,BEL,2014,5
DOM,BEL,2015,5
DOM,BEL,2016,20
DOM,BEL,2017,5
DOM,BEL,2018,5
DOM,BEL,2019,6
DOM,BEL,2022,6
DOM,BEL,2023,5
DOM,BGR,2022,5
DOM,BRA,2012,5
DOM,BRA,2013,109
DOM,BRA,2014,268
DOM,BRA,2015,404
DOM,BRA,2016,107
DOM,BRA,2017,118
DOM,BRA,2018,109
DOM,BRA,2019,123
DOM,BRA,2020,31
DOM,BRA,2021,6
DOM,BRA,2022,205
DOM,BRA,2023,260
DOM,CAN,2008,61
DOM,CAN,2009,91
DOM,CAN,2010,62
DOM,CAN,2011,80
DOM,CAN,2012,49
DOM,CAN,2013,27
DOM,CAN,2014,29
DOM,CAN,2015,27
DOM,CAN,2016,44
DOM,CAN,2017,77
DOM,CAN,2018,94
DOM,CAN,2019,84
DOM,CAN,2020,40
DOM,CAN,2021,70
DOM,CAN,2022,173
DOM,CAN,2023,264
DOM,CHE,2022,5
DOM,CHL,2014,5
DOM,CHL,2016,64
DOM,CHL,2017,53
DOM,CHL,2018,59
DOM,CHL,2019,8
DOM,CHL,2021,12
DOM,COL,2022,5
DOM,CRI,2014,6
DOM,CRI,2016,5
DOM,CRI,2019,67
DOM,CRI,2020,26
DOM,CRI,2021,41
DOM,CRI,2022,88
DOM,CRI,2023,21
DOM,CYP,2011,5
DOM,CYP,2016,5
DOM,CYP,2023,5
DOM,DEU,2013,5
DOM,DEU,2014,5
DOM,DEU,2015,5
DOM,DEU,2016,5
DOM,DEU,2018,5
DOM,DEU,2019,11
DOM,DEU,2020,5
DOM,DEU,2022,5
DOM,DEU,2023,5
DOM,ECU,2008,30
DOM,ECU,2009,33
DOM,ECU,2010,34
DOM,ECU,2011,28
DOM,ECU,2012,6
DOM,ECU,2013,15
DOM,ECU,2017,5
DOM,ECU,2019,5
DOM,ECU,2020,5
DOM,ESP,2009,5
DOM,ESP,2010,5
DOM,ESP,2012,5
DOM,ESP,2013,5
DOM,ESP,2014,16
DOM,ESP,2015,279
DOM,ESP,2016,40
DOM,ESP,2017,221
DOM,ESP,2018,290
DOM,ESP,2019,165
DOM,ESP,2020,81
DOM,ESP,2021,96
DOM,ESP,2022,93
DOM,ESP,2023,104
DOM,FRA,2008,35
DOM,FRA,2009,146
DOM,FRA,2010,175
DOM,FRA,2011,142
DOM,FRA,2012,200
DOM,FRA,2013,269
DOM,FRA,2014,387
DOM,FRA,2015,506
DOM,FRA,2016,621
DOM,FRA,2017,562
DOM,FRA,2018,396
DOM,FRA,2019,667
DOM,FRA,2020,208
DOM,FRA,2021,156
DOM,FRA,2022,480
DOM,FRA,2023,396
DOM,GBR,2010,5
DOM,GBR,2017,5
DOM,GBR,2019,13
DOM,GBR,2022,5
DOM,GBR,2023,5
DOM,GRC,2008,11
DOM,GRC,2009,39
DOM,GRC,2010,7
DOM,GRC,2011,68
DOM,GRC,2012,257
DOM,GRC,2013,17
DOM,GRC,2014,38
DOM,GRC,2015,57
DOM,GRC,2016,87
DOM,GRC,2017,95
DOM,GRC,2018,39
DOM,GRC,2019,20
DOM,GRC,2020,11
DOM,GRC,2021,10
DOM,GRC,2023,5
DOM,HUN,2015,16
DOM,IRL,2019,5
DOM,IRL,2022,5
DOM,ISR,2023,10
DOM,ITA,2010,5
DOM,ITA,2011,5
DOM,ITA,2012,5
DOM,ITA,2013,5
DOM,ITA,2014,5
DOM,ITA,2015,13
DOM,ITA,2016,20
DOM,ITA,2017,11
DOM,ITA,2018,32
DOM,ITA,2019,28
DOM,ITA,2020,11
DOM,ITA,2021,20
DOM,ITA,2022,37
DOM,ITA,2023,85
DOM,MEX,2010,16
DOM,MEX,2011,5
DOM,MEX,2012,5
DOM,MEX,2013,5
DOM,MEX,2014,5
DOM,MEX,2016,5
DOM,MEX,2017,5
DOM,MEX,2018,10
DOM,MEX,2019,34
DOM,MEX,2020,32
DOM,MEX,2021,200
DOM,MEX,2022,1423
DOM,MEX,2023,440
DOM,NLD,2018,5
DOM,NLD,2019,9
DOM,NLD,2020,5
DOM,NLD,2022,7
DOM,NLD,2023,13
DOM,PAN,2011,5
DOM,PAN,2012,11
DOM,PAN,2015,35
DOM,PAN,2016,33
DOM,PAN,2018,12
DOM,PAN,2019,6
DOM,PER,2010,5
DOM,PER,2012,14
DOM,PER,2013,24
DOM,PER,2014,25
DOM,PER,2015,13
DOM,PER,2016,11
DOM,PER,2017,10
DOM,PER,2018,31
DOM,PER,2019,9
DOM,PER,2020,15
DOM,PER,2023,5
DOM,PRT,2022,92
DOM,PRT,2023,31
DOM,PRY,2021,8
DOM,ROU,2013,5
DOM,SUR,2017,5
DOM,SUR,2018,14
DOM,SWE,2015,7
DOM,TTO,2017,5
DOM,TTO,2018,70
DOM,TTO,2019,55
DOM,TTO,2020,7
DOM,TTO,2021,5
DOM,TTO,2022,12
DOM,TUR,2015,5
DOM,URY,2017,5
DOM,URY,2018,12
DOM,URY,2019,193
DOM,URY,2020,100
DOM,URY,2021,69
DOM,URY,2022,464
DOM,URY,2023,433
DOM,USA,2008,59
DOM,USA,2009,72
DOM,USA,2010,120
DOM,USA,2011,214
DOM,USA,2012,301
DOM,USA,2013,208
DOM,USA,2014,250
DOM,USA,2015,230
DOM,USA,2016,362
DOM,USA,2017,379
DOM,USA,2018,397
DOM,USA,2019,397
DOM,USA,2020,330
DOM,USA,2021,363
DOM,USA,2022,1074
DOM,USA,2023,5232
ECU,ARG,2008,5
ECU,ARG,2012,5
ECU,ARG,2017,5
ECU,ARG,2019,6
ECU,ARG,2020,9
ECU,ARG,2021,16
ECU,ARG,2023,6
ECU,AUS,2017,5
ECU,AUS,2023,5
ECU,BEL,2019,5
ECU,BEL,2020,5
ECU,BEL,2021,10
ECU,BEL,2022,21
ECU,BEL,2023,72
ECU,BGR,2023,5
ECU,BLZ,2023,5
ECU,BOL,2019,5
ECU,BOL,2020,7
ECU,BOL,2021,5
ECU,BOL,2022,5
ECU,BRA,2010,5
ECU,BRA,2011,5
ECU,BRA,2012,8
ECU,BRA,2013,8
ECU,BRA,2015,5
ECU,BRA,2016,5
ECU,BRA,2017,10
ECU,BRA,2018,11
ECU,BRA,2019,14
ECU,BRA,2020,10
ECU,BRA,2021,7
ECU,BRA,2022,46
ECU,BRA,2023,96
ECU,CAN,2008,61
ECU,CAN,2009,47
ECU,CAN,2010,32
ECU,CAN,2011,35
ECU,CAN,2012,28
ECU,CAN,2013,10
ECU,CAN,2014,11
ECU,CAN,2015,12
ECU,CAN,2016,18
ECU,CAN,2017,33
ECU,CAN,2018,50
ECU,CAN,2019,86
ECU,CAN,2020,35
ECU,CAN,2021,79
ECU,CAN,2022,164
ECU,CAN,2023,419
ECU,CHE,2009,5
ECU,CHE,2012,5
ECU,CHE,2022,5
ECU,CHL,2008,19
ECU,CHL,2011,5
ECU,CHL,2015,7
ECU,CHL,2016,20
ECU,CHL,2017,8
ECU,CHL,2023,101
ECU,COL,2008,5
ECU,COL,2011,5
ECU,COL,2012,5
ECU,COL,2013,11
ECU,COL,2016,5
ECU,COL,2020,5
ECU,COL,2021,7
ECU,COL,2022,23
ECU,COL,2023,25
ECU,CRI,2009,5
ECU,CRI,2012,5
ECU,CRI,2014,5
ECU,CRI,2016,5
ECU,CRI,2017,5
ECU,CRI,2018,5
ECU,CRI,2019,5
ECU,CRI,2021,44
ECU,CRI,2022,80
ECU,CRI,2023,38
ECU,CZE,2013,5
ECU,DEU,2008,5
ECU,DEU,2014,5
ECU,DEU,2016,5
ECU,DEU,2019,5
ECU,DEU,2022,21
ECU,DEU,2023,37
ECU,DOM,2022,5
ECU,DOM,2023,9
ECU,ECU,2009,5
ECU,ESP,2008,5
ECU,ESP,2010,6
ECU,ESP,2011,5
ECU,ESP,2013,9
ECU,ESP,2014,12
ECU,ESP,2015,11
ECU,ESP,2016,8
ECU,ESP,2017,35
ECU,ESP,2018,47
ECU,ESP,2019,208
ECU,ESP,2020,272
ECU,ESP,2021,242
ECU,ESP,2022,632
ECU,ESP,2023,1110
ECU,EST,2023,5
ECU,FIN,2012,5
ECU,FIN,2022,5
ECU,FRA,2008,6
ECU,FRA,2015,5
ECU,FRA,2019,5
ECU,FRA,2020,10
ECU,FRA,2021,14
ECU,FRA,2022,21
ECU,FRA,2023,31
ECU,GBR,2008,25
ECU,GBR,2009,5
ECU,GBR,2010,11
ECU,GBR,2011,10
ECU,GBR,2013,7
ECU,GBR,2016,5
ECU,GBR,2018,9
ECU,GBR,2019,13
ECU,GBR,2020,6
ECU,GBR,2021,5
ECU,GBR,2022,34
ECU,GBR,2023,42
ECU,GTM,2016,9
ECU,GTM,2022,5
ECU,GTM,2023,5
ECU,HND,2022,5
ECU,HND,2023,5
ECU,ISL,2022,5
ECU,ISL,2023,6
ECU,ISR,2008,7
ECU,ISR,2018,14
ECU,ISR,2019,15
ECU,ISR,2020,15
ECU,ISR,2022,14
ECU,ISR,2023,25
ECU,ITA,2008,6
ECU,ITA,2010,12
ECU,ITA,2012,8
ECU,ITA,2013,5
ECU,ITA,2014,8
ECU,ITA,2015,12
ECU,ITA,2016,33
ECU,ITA,2017,13
ECU,ITA,2018,16
ECU,ITA,2019,33
ECU,ITA,2020,28
ECU,ITA,2021,30
ECU,ITA,2022,61
ECU,ITA,2023,213
ECU,MDA,2022,5
ECU,MEX,2008,5
ECU,MEX,2010,5
ECU,MEX,2011,6
ECU,MEX,2012,5
ECU,MEX,2013,5
ECU,MEX,2015,5
ECU,MEX,2016,20
ECU,MEX,2017,23
ECU,MEX,2018,22
ECU,MEX,2019,78
ECU,MEX,2020,85
ECU,MEX,2021,245
ECU,MEX,2022,1241
ECU,MEX,2023,1574
ECU,MNE,2020,5
ECU,MNE,2022,5
ECU,NLD,2009,5
ECU,NLD,2011,5
ECU,NLD,2013,5
ECU,NLD,2023,28
ECU,NOR,2009,10
ECU,NOR,2010,5
ECU,PAN,2013,5
ECU,PAN,2018,20
ECU,PAN,2019,6
ECU,PAN,2021,8
ECU,PAN,2022,5
ECU,PAN,2023,6
ECU,PER,2010,7
ECU,PER,2013,5
ECU,PER,2014,6
ECU,PER,2016,8
ECU,PER,2017,21
ECU,PER,2018,40
ECU,PER,2019,31
ECU,PER,2020,166
ECU,PER,2021,6
ECU,PER,2022,11
ECU,PER,2023,102
ECU,PRY,2021,5
ECU,PRY,2023,5
ECU,ROU,2008,6
ECU,ROU,2011,5
ECU,ROU,2022,5
ECU,SLV,2023,8
ECU,SWE,2008,22
ECU,SWE,2009,36
ECU,SWE,2010,19
ECU,SWE,2011,17
ECU,SWE,2012,6
ECU,SWE,2013,11
ECU,SWE,2014,12
ECU,SWE,2015,16
ECU,SWE,2016,16
ECU,SWE,2017,16
ECU,SWE,2018,32
ECU,SWE,2019,35
ECU,SWE,2020,14
ECU,SWE,2022,21
ECU,SWE,2023,21
ECU,URY,2019,5
ECU,URY,2020,5
ECU,URY,2021,16
ECU,URY,2022,10
ECU,URY,2023,17
ECU,USA,2008,168
ECU,USA,2009,174
ECU,USA,2010,404
ECU,USA,2011,807
ECU,USA,2012,1394
ECU,USA,2013,1848
ECU,USA,2014,3545
ECU,USA,2015,3732
ECU,USA,2016,4423
ECU,USA,2017,3964
ECU,USA,2018,4484
ECU,USA,2019,5333
ECU,USA,2020,4605
ECU,USA,2021,6558
ECU,USA,2022,22035
ECU,USA,2023,35079
ECU,VEN,2010,5
GRD,CAN,2008,36
GRD,CAN,2009,39
GRD,CAN,2010,26
GRD,CAN,2011,27
GRD,CAN,2012,23
GRD,CAN,2013,13
GRD,CAN,2014,6
GRD,CAN,2015,13
GRD,CAN,2016,5
GRD,CAN,2018,6
GRD,CAN,2019,11
GRD,CAN,2020,5
GRD,CAN,2021,10
GRD,CAN,2022,5
GRD,CAN,2023,14
GRD,GBR,2009,5
GRD,GBR,2011,13
GRD,GBR,2012,5
GRD,GBR,2013,5
GRD,GBR,2014,6
GRD,GBR,2015,5
GRD,GBR,2016,15
GRD,GBR,2017,18
GRD,GBR,2018,18
GRD,GBR,2019,29
GRD,GBR,2020,26
GRD,GBR,2021,22
GRD,GBR,2022,43
GRD,GBR,2023,40
GRD,USA,2009,10
GRD,USA,2010,19
GRD,USA,2011,25
GRD,USA,2012,18
GRD,USA,2013,6
GRD,USA,2014,10
GRD,USA,2015,5
GRD,USA,2016,5
GRD,USA,2017,6
GRD,USA,2019,9
GRD,USA,2022,7
GRD,USA,2023,10
GTM,ARG,2017,5
GTM,AUT,2021,5
GTM,BEL,2009,7
GTM,BEL,2012,12
GTM,BEL,2013,16
GTM,BEL,2014,5
GTM,BEL,2016,5
GTM,BEL,2017,10
GTM,BEL,2018,25
GTM,BEL,2019,13
GTM,BEL,2020,10
GTM,BEL,2021,15
GTM,BEL,2022,96
GTM,BEL,2023,68
GTM,BLZ,2008,5
GTM,BLZ,2009,10
GTM,BLZ,2011,8
GTM,BLZ,2013,14
GTM,BLZ,2014,5
GTM,BLZ,2015,108
GTM,BLZ,2016,376
GTM,BLZ,2018,5
GTM,BLZ,2019,21
GTM,BLZ,2020,12
GTM,BLZ,2022,12
GTM,BLZ,2023,36
GTM,BRA,2017,5
GTM,BRA,2018,5
GTM,BRA,2019,7
GTM,BRA,2020,5
GTM,BRA,2022,8
GTM,BRA,2023,5
GTM,CAN,2008,288
GTM,CAN,2009,288
GTM,CAN,2010,314
GTM,CAN,2011,261
GTM,CAN,2012,120
GTM,CAN,2013,73
GTM,CAN,2014,42
GTM,CAN,2015,49
GTM,CAN,2016,51
GTM,CAN,2017,217
GTM,CAN,2018,153
GTM,CAN,2019,166
GTM,CAN,2020,56
GTM,CAN,2021,127
GTM,CAN,2022,248
GTM,CAN,2023,324
GTM,CHE,2022,5
GTM,CHL,2018,5
GTM,CRI,2008,5
GTM,CRI,2009,11
GTM,CRI,2010,14
GTM,CRI,2011,16
GTM,CRI,2012,27
GTM,CRI,2013,13
GTM,CRI,2014,17
GTM,CRI,2015,6
GTM,CRI,2016,27
GTM,CRI,2017,26
GTM,CRI,2018,13
GTM,CRI,2019,42
GTM,CRI,2020,8
GTM,CRI,2021,76
GTM,CRI,2022,44
GTM,CRI,2023,13
GTM,DEU,2012,12
GTM,DEU,2014,5
GTM,DEU,2017,5
GTM,DEU,2018,5
GTM,DEU,2019,8
GTM,DEU,2022,6
GTM,DEU,2023,17
GTM,ECU,2008,5
GTM,ESP,2008,16
GTM,ESP,2009,17
GTM,ESP,2010,10
GTM,ESP,2011,17
GTM,ESP,2012,8
GTM,ESP,2013,7
GTM,ESP,2014,7
GTM,ESP,2015,10
GTM,ESP,2016,30
GTM,ESP,2017,54
GTM,ESP,2018,172
GTM,ESP,2019,518
GTM,ESP,2020,463
GTM,ESP,2021,225
GTM,ESP,2022,303
GTM,ESP,2023,419
GTM,FIN,2011,5
GTM,FRA,2012,5
GTM,FRA,2015,5
GTM,FRA,2016,5
GTM,FRA,2020,11
GTM,FRA,2021,5
GTM,FRA,2022,18
GTM,GBR,2009,6
GTM,GBR,2015,7
GTM,GBR,2016,7
GTM,GBR,2017,12
GTM,GBR,2018,10
GTM,GBR,2019,11
GTM,GBR,2020,11
GTM,GBR,2021,16
GTM,GBR,2022,43
GTM,GBR,2023,71
GTM,IRL,2018,5
GTM,IRL,2019,11
GTM,IRL,2020,10
GTM,IRL,2022,22
GTM,IRL,2023,34
GTM,ISL,2022,5
GTM,ISL,2023,5
GTM,ITA,2009,5
GTM,ITA,2015,5
GTM,ITA,2017,5
GTM,ITA,2018,14
GTM,ITA,2019,27
GTM,ITA,2020,17
GTM,ITA,2021,13
GTM,ITA,2022,24
GTM,ITA,2023,35
GTM,MEX,2008,18
GTM,MEX,2009,39
GTM,MEX,2010,59
GTM,MEX,2011,69
GTM,MEX,2012,54
GTM,MEX,2013,46
GTM,MEX,2014,52
GTM,MEX,2015,102
GTM,MEX,2016,437
GTM,MEX,2017,676
GTM,MEX,2018,1383
GTM,MEX,2019,3778
GTM,MEX,2020,3005
GTM,MEX,2021,4149
GTM,MEX,2022,5269
GTM,MEX,2023,6111
GTM,NIC,2014,5
GTM,NLD,2011,5
GTM,NLD,2012,5
GTM,NLD,2021,5
GTM,NLD,2023,5
GTM,NOR,2008,5
GTM,NOR,2013,12
GTM,NOR,2023,5
GTM,PAN,2011,5
GTM,PAN,2015,6
GTM,PAN,2016,6
GTM,PAN,2017,5
GTM,PAN,2018,6
GTM,PAN,2019,5
GTM,PHL,2020,5
GTM,PRY,2021,5
GTM,SLV,2020,5
GTM,SLV,2021,8
GTM,SLV,2022,5
GTM,SLV,2023,8
GTM,SWE,2008,8
GTM,SWE,2011,8
GTM,SWE,2013,21
GTM,SWE,2014,13
GTM,SWE,2017,5
GTM,SWE,2018,10
GTM,SWE,2019,31
GTM,SWE,2020,15
GTM,SWE,2022,12
GTM,SWE,2023,12
GTM,USA,2008,1853
GTM,USA,2009,1740
GTM,USA,2010,2171
GTM,USA,2011,3671
GTM,USA,2012,4152
GTM,USA,2013,4865
GTM,USA,2014,9098
GTM,USA,2015,16419
GTM,USA,2016,25723
GTM,USA,2017,35546
GTM,USA,2018,36732
GTM,USA,2019,55314
GTM,USA,2020,38301
GTM,USA,2021,24341
GTM,USA,2022,40677
GTM,USA,2023,43641
GUY,BRA,2014,5
GUY,BRA,2015,5
GUY,BRA,2017,21
GUY,BRA,2018,47
GUY,BRA,2019,64
GUY,BRA,2020,12
GUY,BRA,2021,10
GUY,BRA,2022,79
GUY,BRA,2023,58
GUY,CAN,2008,137
GUY,CAN,2009,98
GUY,CAN,2010,62
GUY,CAN,2011,63
GUY,CAN,2012,36
GUY,CAN,2013,20
GUY,CAN,2014,8
GUY,CAN,2015,41
GUY,CAN,2016,30
GUY,CAN,2017,71
GUY,CAN,2018,58
GUY,CAN,2019,45
GUY,CAN,2020,5
GUY,CAN,2021,39
GUY,CAN,2022,57
GUY,CAN,2023,45
GUY,CRI,2021,11
GUY,FRA,2009,13
GUY,FRA,2010,16
GUY,FRA,2011,126
GUY,FRA,2012,54
GUY,FRA,2013,33
GUY,FRA,2014,36
GUY,FRA,2015,38
GUY,FRA,2016,17
GUY,FRA,2018,16
GUY,FRA,2019,20
GUY,FRA,2021,8
GUY,FRA,2022,11
GUY,GBR,2008,14
GUY,GBR,2009,14
GUY,GBR,2010,8
GUY,GBR,2011,13
GUY,GBR,2012,6
GUY,GBR,2013,11
GUY,GBR,2014,5
GUY,GBR,2015,7
GUY,GBR,2016,6
GUY,GBR,2017,6
GUY,GBR,2018,10
GUY,GBR,2019,10
GUY,GBR,2020,5
GUY,GBR,2022,6
GUY,GBR,2023,25
GUY,GRC,2023,8
GUY,HUN,2009,5
GUY,IRL,2009,10
GUY,IRL,2010,5
GUY,IRL,2016,5
GUY,IRL,2018,5
GUY,IRL,2022,5
GUY,IRL,2023,7
GUY,MEX,2019,5
GUY,MEX,2020,5
GUY,MEX,2021,19
GUY,MEX,2022,19
GUY,MEX,2023,87
GUY,NLD,2012,5
GUY,NLD,2022,5
GUY,PER,2023,5
GUY,TTO,2016,5
GUY,TTO,2017,5
GUY,TTO,2018,15
GUY,TTO,2019,37
GUY,TTO,2020,21
GUY,TTO,2021,10
GUY,TTO,2022,27
GUY,USA,2008,65
GUY,USA,2009,71
GUY,USA,2010,60
GUY,USA,2011,55
GUY,USA,2012,55
GUY,USA,2013,45
GUY,USA,2014,61
GUY,USA,2015,62
GUY,USA,2016,90
GUY,USA,2017,132
GUY,USA,2018,157
GUY,USA,2019,149
GUY,USA,2020,118
GUY,USA,2021,87
GUY,USA,2022,92
GUY,USA,2023,342
HND,ARG,2011,8
HND,ARG,2017,5
HND,ARG,2018,8
HND,ARG,2019,10
HND,ARG,2023,5
HND,AUS,2015,5
HND,AUS,2016,5
HND,AUS,2017,6
HND,AUS,2022,5
HND,BEL,2014,5
HND,BEL,2016,5
HND,BEL,2017,15
HND,BEL,2018,5
HND,BEL,2019,6
HND,BEL,2020,5
HND,BEL,2021,10
HND,BEL,2022,15
HND,BEL,2023,31
HND,BLZ,2012,12
HND,BLZ,2013,6
HND,BLZ,2015,85
HND,BLZ,2016,490
HND,BLZ,2017,65
HND,BLZ,2018,45
HND,BLZ,2019,107
HND,BLZ,2020,39
HND,BLZ,2021,7
HND,BLZ,2022,36
HND,BLZ,2023,74
HND,BOL,2010,5
HND,BRA,2017,5
HND,BRA,2018,6
HND,BRA,2019,6
HND,BRA,2023,14
HND,CAN,2008,473
HND,CAN,2009,341
HND,CAN,2010,323
HND,CAN,2011,299
HND,CAN,2012,279
HND,CAN,2013,134
HND,CAN,2014,179
HND,CAN,2015,144
HND,CAN,2016,137
HND,CAN,2017,308
HND,CAN,2018,258
HND,CAN,2019,302
HND,CAN,2020,114
HND,CAN,2021,145
HND,CAN,2022,251
HND,CAN,2023,297
HND,CHE,2012,5
HND,CHE,2018,6
HND,CHE,2019,5
HND,CHE,2021,6
HND,CHE,2022,5
HND,CHE,2023,5
HND,CHL,2014,5
HND,COL,2013,5
HND,COL,2015,5
HND,CRI,2009,26
HND,CRI,2010,40
HND,CRI,2011,47
HND,CRI,2012,34
HND,CRI,2013,73
HND,CRI,2014,107
HND,CRI,2015,124
HND,CRI,2016,201
HND,CRI,2017,256
HND,CRI,2018,220
HND,CRI,2019,456
HND,CRI,2020,129
HND,CRI,2021,335
HND,CRI,2022,368
HND,CRI,2023,93
HND,DEU,2009,5
HND,DEU,2010,5
HND,DEU,2011,21
HND,DEU,2012,5
HND,DEU,2013,5
HND,DEU,2014,5
HND,DEU,2015,20
HND,DEU,2016,11
HND,DEU,2017,21
HND,DEU,2018,29
HND,DEU,2019,55
HND,DEU,2020,16
HND,DEU,2021,30
HND,DEU,2022,70
HND,DEU,2023,83
HND,ECU,2008,5
HND,ECU,2010,5
HND,ECU,2018,5
HND,ECU,2019,5
HND,ESP,2008,10
HND,ESP,2009,15
HND,ESP,2010,42
HND,ESP,2011,45
HND,ESP,2012,41
HND,ESP,2013,38
HND,ESP,2014,60
HND,ESP,2015,148
HND,ESP,2016,399
HND,ESP,2017,983
HND,ESP,2018,2464
HND,ESP,2019,6792
HND,ESP,2020,5536
HND,ESP,2021,2254
HND,ESP,2022,3017
HND,ESP,2023,3685
HND,FIN,2008,5
HND,FIN,2010,5
HND,FIN,2015,5
HND,FIN,2016,5
HND,FIN,2017,5
HND,FIN,2018,5
HND,FIN,2019,28
HND,FIN,2021,16
HND,FIN,2022,11
HND,FIN,2023,9
HND,FRA,2012,5
HND,FRA,2014,5
HND,FRA,2015,8
HND,FRA,2017,5
HND,FRA,2018,41
HND,FRA,2019,32
HND,FRA,2020,26
HND,FRA,2021,29
HND,FRA,2022,22
HND,FRA,2023,21
HND,GBR,2009,13
HND,GBR,2011,5
HND,GBR,2012,25
HND,GBR,2013,7
HND,GBR,2014,19
HND,GBR,2015,12
HND,GBR,2016,5
HND,GBR,2017,11
HND,GBR,2018,90
HND,GBR,2019,208
HND,GBR,2020,250
HND,GBR,2021,553
HND,GBR,2022,1174
HND,GBR,2023,990
HND,GTM,2012,7
HND,GTM,2014,20
HND,GTM,2015,17
HND,GTM,2016,13
HND,GTM,2017,14
HND,GTM,2018,38
HND,GTM,2019,129
HND,GTM,2020,207
HND,GTM,2021,412
HND,GTM,2022,308
HND,GTM,2023,423
HND,IRL,2014,5
HND,IRL,2020,5
HND,IRL,2021,5
HND,IRL,2022,10
HND,IRL,2023,11
HND,ISL,2013,5
HND,ISL,2019,5
HND,ISL,2020,5
HND,ISL,2022,30
HND,ISL,2023,6
HND,ITA,2010,10
HND,ITA,2011,6
HND,ITA,2015,17
HND,ITA,2016,45
HND,ITA,2017,84
HND,ITA,2018,217
HND,ITA,2019,362
HND,ITA,2020,148
HND,ITA,2021,83
HND,ITA,2022,183
HND,ITA,2023,228
HND,MEX,2008,55
HND,MEX,2009,184
HND,MEX,2010,135
HND,MEX,2011,168
HND,MEX,2012,272
HND,MEX,2013,529
HND,MEX,2014,768
HND,MEX,2015,1560
HND,MEX,2016,4119
HND,MEX,2017,4272
HND,MEX,2018,13631
HND,MEX,2019,30093
HND,MEX,2020,15469
HND,MEX,2021,36361
HND,MEX,2022,31092
HND,MEX,2023,41936
HND,NIC,2009,51
HND,NIC,2010,6
HND,NIC,2011,5
HND,NIC,2012,5
HND,NIC,2013,21
HND,NIC,2014,14
HND,NIC,2015,31
HND,NIC,2016,9
HND,NIC,2017,10
HND,NLD,2010,7
HND,NLD,2015,13
HND,NLD,2016,7
HND,NLD,2017,7
HND,NLD,2019,10
HND,NLD,2020,6
HND,NLD,2021,8
HND,NLD,2022,5
HND,NLD,2023,11
HND,NOR,2009,10
HND,NOR,2014,5
HND,NOR,2016,5
HND,PAN,2012,5
HND,PAN,2014,5
HND,PAN,2015,34
HND,PAN,2016,39
HND,PAN,2017,16
HND,PAN,2018,36
HND,PAN,2019,29
HND,PAN,2020,5
HND,PAN,2021,6
HND,PAN,2022,5
HND,PAN,2023,5
HND,PER,2018,6
HND,SLV,2009,7
HND,SLV,2010,20
HND,SLV,2013,5
HND,SLV,2014,5
HND,SLV,2015,5
HND,SLV,2017,5
HND,SLV,2018,5
HND,SLV,2019,8
HND,SLV,2020,7
HND,SLV,2021,10
HND,SLV,2022,10
HND,SLV,2023,15
HND,SWE,2008,10
HND,SWE,2009,13
HND,SWE,2010,26
HND,SWE,2011,12
HND,SWE,2012,7
HND,SWE,2013,13
HND,SWE,2014,10
HND,SWE,2015,10
HND,SWE,2016,29
HND,SWE,2017,33
HND,SWE,2018,42
HND,SWE,2019,46
HND,SWE,2020,39
HND,SWE,2021,23
HND,SWE,2022,49
HND,SWE,2023,38
HND,USA,2008,893
HND,USA,2009,850
HND,USA,2010,1030
HND,USA,2011,1559
HND,USA,2012,2115
HND,USA,2013,3165
HND,USA,2014,6798
HND,USA,2015,14255
HND,USA,2016,19470
HND,USA,2017,28955
HND,USA,2018,26241
HND,USA,2019,41468
HND,USA,2020,31998
HND,USA,2021,20496
HND,USA,2022,44072
HND,USA,2023,49691
HTI,ARG,2008,15
HTI,ARG,2009,41
