iso,year,events_flood,events_drought,events_hurricane,deaths_flood,deaths_drought,deaths_hurricane,affected_flood,affected_drought,affected_hurricane,int_disp_flood,int_disp_hurricane,int_disp_drought,asylum_apps,gdp_pc_const,agri_va_pct,unemp_rate,remit_gdp_pct,population,gini_index,diaspora_US,diaspora_ESP,total_events,total_int_disp,asylum_apps_pc100k,int_disp_total_pc100k,deaths_total,affected_total,deaths_per_event,affected_per_event,any_drought_event,any_flood_event,any_hurricane_event,any_internal_disp,log_asylum_apps,log_int_disp_total,log_events_total,lag_asylum_apps,lag_int_disp_total,lag_total_events,lag_drought_events,lag_flood_events,lag_hurricane_events
LCA,2008,0,0,0,0,0,0,0,0,0,0,0,0,259,10583.4310172598,3.58977133209373,12.72,2.17512202591938,168808,NA,NA,NA,0,0,153.42874745272735,0,0,0,NA,NA,0,0,0,0,5.560681631015528,0,0,NA,NA,NA,NA,NA,NA
VCT,2008,0,0,0,0,0,0,0,0,0,0,0,0,498,7012.88002960716,6.0359091751918,18.79,5.7693796152069,111028,NA,NA,NA,0,0,448.53550455740896,0,0,0,NA,NA,0,0,0,0,6.212606095751519,0,0,NA,NA,NA,NA,NA,NA
ATG,2008,0,0,1,0,0,0,0,0,25800,0,45,0,16,20464.786306605,1.13038950169178,NA,1.90796491479587,82912,NA,NA,NA,1,45,19.297568506368197,54.274411424160554,0,25800,0,25800,0,0,1,1,2.833213344056216,3.828641396489095,0.6931471805599453,NA,NA,NA,NA,NA,NA
KNA,2008,0,0,1,0,0,0,0,0,0,0,0,0,5,18325.7612670282,1.22394357477247,NA,2.12893598945357,46835,NA,NA,NA,1,0,10.675776662752215,0,0,0,0,0,0,0,1,0,1.791759469228055,0,0.6931471805599453,NA,NA,NA,NA,NA,NA
ARG,2009,2,1,0,9,0,0,34128,0,0,0,0,0,77,12285.3784651865,5.2736234689014,8.645,0.188764794272549,40854831,43.8,NA,NA,3,0,0.1884722029568547,0,9,34128,3,11376,1,1,0,0,4.356708826689592,0,1.3862943611198906,147,635,1,0,1,0
BOL,2009,1,0,0,0,0,0,63000,0,0,630,0,0,324,2422.57579390006,11.1524074497311,2.973,6.10109847905471,10016275,49.2,NA,NA,1,630,3.234735468025788,6.289763410050144,0,63000,0,63000,0,1,0,1,5.783825182329737,6.447305862541213,0.6931471805599453,392,0,1,1,0,0
BRA,2009,7,0,0,90,0,0,1859948,0,0,522500,450,0,387,8246.09706995094,4.47677399209847,9.419,0.173315277293489,192079951,53.7,NA,NA,7,522950,0.2014786020015176,272.2564209733685,90,1859948,12.857142857142858,265706.85714285716,0,1,0,1,5.961005339623274,13.167243048409288,2.0794415416798357,469,309435,4,0,4,0
CHL,2009,0,0,0,0,0,0,0,0,0,697,0,0,158,11116.4093443103,3.69712695588486,11.313,0.0302355853046632,17009731,47.4,NA,NA,0,697,0.9288800628299178,4.097654454382612,0,0,NA,NA,0,0,0,1,5.0689042022202315,6.548219102762372,0,199,35000,2,0,2,0
COL,2009,1,0,0,23,0,0,31250,0,0,0,0,0,39198,5046.97121757727,6.68974069628809,12.066,1.77437358615558,44271541,54.3,NA,NA,1,0,88.53994939999943,0,23,31250,23,31250,0,1,0,0,10.576406515249081,0,0.6931471805599453,25430,30100,2,0,2,0
ECU,2009,1,1,0,3,0,0,11805,107500,0,0,0,0,292,4909.33681705683,8.61225542007853,4.608,4.5635031450049,14825954,48.5,NA,NA,2,0,1.9695191284149405,0,3,119305,1.5,59652.5,1,1,0,0,5.680172609017068,0,1.0986122886681098,345,13871,1,0,1,0
GUY,2009,0,0,0,0,0,0,0,0,0,0,0,0,211,4649.34144792756,29.4241191257626,11.314,8.27838696778933,752094,NA,NA,NA,0,0,28.055003762827518,0,0,0,NA,NA,0,0,0,0,5.356586274672012,0,0,216,0,1,0,1,0
